LOGNAME,1283748,0028.csv
VER,1283752,3
MSG,1308409,CAN init done
MSG,1321400,I2C init done
MSG,acc_mag found
ERR,am whoami,0
MSG,1349400,Sending CAN test message
CAN,1771471,1,01F0A007,FFFF00CC00320A00
CAN,1771812,1,01F0A009,0000800103E80000
CAN,1774790,1,0C201000,0141000000000000
CAN,1775088,1,01F0A020,0000000000000000
CAN,1775400,1,0C001000,012D000000000000
CAN,1775693,1,01F0A010,0000000000323200
CAN,1775987,1,0C301000,0160000000000000
CAN,1776282,1,000A0630,FFFFFFFF00000000
CAN,1776589,1,01F0A022,0000000000000000
CAN,1776890,1,01F0A011,0000000000000000
CAN,1777203,1,01F0A012,0649000000003200
CAN,1779824,1,01F0A000,0000453F023F1628
CAN,1780144,1,01F0A003,8214000000300407
CAN,1780469,1,01F0A004,03CD000100000100
CAN,1780790,1,01F0A005,000000000000000E
CAN,1785079,1,0C101000,0141000000000000
CAN,1785376,1,0C201000,0142000000000000
CAN,1785944,1,0C001000,012D000000000000
CAN,1786533,1,0C301000,015E000000000000
CAN,1787934,1,01F0A00B,03E8000000003200
CAN,1788307,1,01F0A00D,0012E00000032400
CAN,1788613,1,000A0620,0000000000000000
CAN,1788898,1,01F0A00A,6464646464640000
CAN,1789824,1,01F0A000,0000457902741628
CAN,1790145,1,01F0A003,8214000000300407
CAN,1790468,1,01F0A004,03D0000100000100
CAN,1790794,1,01F0A005,000000000000000E
CAN,1791124,1,01F0A006,0080000000008000
CAN,1791447,1,01F0A007,FFFF00CC00320A00
CAN,1791858,1,01F0A009,0000800103E80000
CAN,1795946,1,0C201000,0144000000000000
CAN,1796505,1,0C001000,012D000000000000
CAN,1797098,1,0C301000,015F000000000000
CAN,1799759,1,01F0A000,0000458C02601628
CAN,1800298,1,01F0A020,0000000000000000
CAN,1800627,1,01F0A010,0000000000323200
CAN,1800941,1,01F0A003,8314000000300407
CAN,1801271,1,01F0A022,0000000000000000
CAN,1801826,1,01F0A011,0000000000000000
CAN,1802143,1,01F0A004,03D0000100000100
CAN,1802457,1,01F0A012,0649000000003200
CAN,1802759,1,01F0A005,000000000000000E
CAN,1806266,1,0C101000,0142000000000000
CAN,1806559,1,0C201000,0143000000000000
CAN,1807044,1,0C001000,012F000000000000
CAN,1807659,1,0C301000,0160000000000000
CAN,1809837,1,01F0A000,0000457702601628
CAN,1810158,1,01F0A003,8314000000300407
CAN,1810481,1,01F0A004,03D0000200000100
CAN,1811776,1,01F0A005,000000000000000E
CAN,1812225,1,01F0A006,0080000000008000
CAN,1812560,1,01F0A007,FFFF00CC00320A00
CAN,1812899,1,01F0A009,0000800103E80000
CAN,1817122,1,0C201000,013F000000000000
CAN,1817589,1,0C001000,012D000000000000
ACC,1819074,28304,-161040,997472
GYR,1820045,-1007,-101,132
CAN,1820058,1,0C301000,0160000000000000
CAN,1820070,1,01F0A000,0000459F028F1628
CAN,1820082,1,01F0A003,8314000000300407
CAN,1820309,1,01F0A004,03D2000100000100
CAN,1820630,1,01F0A005,000000000000000E
CAN,1821005,1,01F0A008,3274007300282800
CAN,1823917,1,01F0A020,0000000000000000
CAN,1824248,1,01F0A010,0000000000323200
CAN,1824571,1,000A0630,FFFFFFFF00000000
CAN,1824874,1,01F0A022,0000000000000000
CAN,1825177,1,01F0A011,0000000000000000
CAN,1825498,1,01F0A012,0649000000003200
CAN,1827462,1,0C101000,0143000000000000
CAN,1827756,1,0C201000,0141000000000000
CAN,1828156,1,0C001000,012B000000000000
CAN,1828772,1,0C301000,0160000000000000
CAN,1829855,1,01F0A000,0000457002861628
CAN,1830176,1,01F0A003,8314000000300410
CAN,1830506,1,01F0A004,03D0000100000100
CAN,1830830,1,01F0A005,000000000000000E
CAN,1831157,1,01F0A006,0080000000008000
CAN,1831485,1,01F0A007,FFFF00CC00320A00
CAN,1831893,1,01F0A009,0000800103E80000
CAN,1835326,1,01F0A00B,03E8000000003200
CAN,1835852,1,01F0A00D,0012E00000032400
CAN,1836159,1,000A0620,0000000000000000
CAN,1836444,1,01F0A00A,6464646464640000
CAN,1838307,1,0C201000,0142000000000000
CAN,1838697,1,0C001000,012A000000000000
CAN,1839325,1,0C301000,0160000000000000
CAN,1839678,1,01F0A000,0000455202741628
CAN,1840015,1,01F0A003,8214000000300410
CAN,1840339,1,01F0A004,03CE000100000100
CAN,1840663,1,01F0A005,000000000000000E
CAN,1902050,1,01F0A020,0000000000000000
CAN,1902062,1,01F0A010,0000000000323200
CAN,1902075,1,01F0A022,0000000000000000
CAN,1902087,1,01F0A005,000000000000000E
ACC,1903578,27328,-161040,996496
GYR,1904548,-1117,-539,429
CAN,1904561,1,0C001000,012D000000000000
CAN,1904574,1,0C201000,0140000000000000
CAN,1904586,1,0C301000,0161000000000000
EGT,1905695,17.88
CAN,1910849,1,01F0A000,0000457702711628
CAN,1911179,1,01F0A003,8114000000300416
CAN,1911522,1,01F0A004,03D1000100000100
CAN,1911851,1,01F0A020,0000000000000000
CAN,1912181,1,01F0A010,0000000000323200
CAN,1912508,1,000A0630,FFFFFFFF00000000
CAN,1912807,1,0C101000,0141000000000000
CAN,1913102,1,01F0A005,000000000000000E
CAN,1913399,1,0C001000,012A000000000000
CAN,1913695,1,01F0A022,0000000000000000
CAN,1913989,1,0C201000,013F000000000000
CAN,1914284,1,01F0A011,0000000000000000
CAN,1914579,1,0C301000,0162000000000000
CAN,1914873,1,01F0A006,0080000000008000
CAN,1915197,1,01F0A012,0649000000003200
CAN,1915491,1,01F0A007,FFFF00CC00320A00
CAN,1915830,1,01F0A009,0000800103E80000
ACC,1919080,25376,-165920,1013088
GYR,1920050,-273,632,281
CAN,1920063,1,01F0A000,0000457302971628
CAN,1920076,1,01F0A003,8114000000300416
CAN,1920332,1,01F0A004,03D0000100000100
CAN,1920654,1,01F0A005,000000000000000E
CAN,1923048,1,01F0A00B,03E8000000003200
CAN,1923345,1,01F0A00D,0012E10000032400
CAN,1923652,1,000A0620,0000000000000000
CAN,1923946,1,0C001000,012B000000000000
CAN,1924226,1,01F0A00A,6464646464640000
CAN,1924542,1,0C201000,0142000000000000
CAN,1925140,1,0C301000,0160000000000000
CAN,1929699,1,01F0A000,0000457002761628
CAN,1930027,1,01F0A003,811400000030041B
CAN,1930351,1,01F0A004,03D0000100000100
CAN,1930675,1,01F0A005,000000000000000E
CAN,1931022,1,01F0A006,0080000000008000
CAN,1931343,1,01F0A007,FFFF00CC00320A00
CAN,1931659,1,01F0A008,3274007300282800
CAN,1932073,1,01F0A009,0000800103E80000
CAN,1934002,1,0C101000,0143000000000000
CAN,1934483,1,0C001000,012E000000000000
CAN,1935072,1,01F0A020,0000000000000000
CAN,1935369,1,0C201000,0140000000000000
CAN,1935662,1,01F0A010,0000000000323200
CAN,1935956,1,0C301000,015C000000000000
CAN,1936250,1,01F0A022,0000000000000000
CAN,1936554,1,01F0A011,0000000000000000
